YearsCode,Gender,Julia,Education,Age,Rust,SQL,R,YearsCodeProfessional,Python,C,LISP,Blockchain,Clojure,Sexuality,SalaryUSD,Java,Ethnicity,Cplusplus,Background,JavaScript,HTML_CSS
15,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,no,no,10,no,no,no,Indifferent,no,Straight / Heterosexual,130000,yes,White,no,I am a developer by profession,yes,yes
7,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,no,no,3,yes,no,no,Favorable,no,Straight / Heterosexual,187000,yes,White,no,I am a developer by profession,no,no
28,Man,no,Some college/university study without earning a degree,35-44 years old,no,yes,no,20,yes,yes,no,Favorable,no,Straight / Heterosexual,165000,no,White,no,I am a developer by profession,yes,yes
20,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,yes,yes,no,9,no,no,no,Very unfavorable,no,Straight / Heterosexual,175000,yes,White,yes,I am a developer by profession,yes,no
22,Man,no,Some college/university study without earning a degree,25-34 years old,yes,no,no,13,yes,no,no,Indifferent,no,Straight / Heterosexual,129000,no,White,no,I am a developer by profession,yes,no
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,1,no,no,no,Unfavorable,no,Straight / Heterosexual,89000,no,African,no,I am a developer by profession,no,no
9,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,yes,no,no,6,yes,yes,no,Very unfavorable,no,Straight / Heterosexual,150000,no,White,yes,I am a developer by profession,no,no
5,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,no,no,1,no,no,no,Unfavorable,no,Straight / Heterosexual,200000,no,Asian,no,I am a developer by profession,no,no
,Man,no,Some college/university study without earning a degree,25-34 years old,yes,yes,no,,no,no,no,Favorable,no,Gay or Lesbian,220000,no,White,no,I am a developer by profession,yes,no
9,Man,no,"Associate degree (A.A., A.S., etc.)",25-34 years old,no,yes,no,7,yes,no,no,Indifferent,no,Straight / Heterosexual,90000,yes,White,yes,I am a developer by profession,no,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,5,yes,no,no,Very unfavorable,no,Gay or Lesbian,130000,no,White,no,I am a developer by profession,no,yes
25,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,no,yes,no,20,no,no,no,Unfavorable,no,Straight / Heterosexual,201000,no,White,no,I am a developer by profession,yes,yes
7,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,3,no,no,no,Unfavorable,no,Straight / Heterosexual,140000,yes,White,no,I am a developer by profession,yes,yes
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,no,no,2,yes,no,no,Unfavorable,no,Straight / Heterosexual,120000,no,White,yes,I am a developer by profession,no,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,8,yes,no,no,Very unfavorable,no,Straight / Heterosexual,240000,yes,White,no,I am a developer by profession,yes,yes
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,no,no,1,no,yes,no,Very unfavorable,no,Straight / Heterosexual,180000,yes,White,yes,I am a developer by profession,no,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,3,yes,no,no,Very favorable,no,Straight / Heterosexual,86000,yes,White,no,I am a developer by profession,no,yes
21,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,yes,yes,no,18,yes,no,no,Indifferent,no,Straight / Heterosexual,175000,no,White,no,I am a developer by profession,no,no
10,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,yes,no,yes,4,yes,no,no,Unfavorable,no,Gay or Lesbian,115000,no,White,no,I am a developer by profession,no,no
10,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,no,no,3,yes,no,no,Favorable,no,Straight / Heterosexual,150000,yes,Indian,no,I am a developer by profession,yes,no
14,Man,no,Some college/university study without earning a degree,25-34 years old,no,yes,no,8,no,no,yes,Very unfavorable,no,Straight / Heterosexual,95000,no,White,no,I am a developer by profession,yes,yes
15,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,yes,6,yes,no,no,Indifferent,no,Straight / Heterosexual,150000,no,Asian,no,I am a developer by profession,yes,yes
17,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,no,no,6,no,no,no,Unfavorable,no,Straight / Heterosexual,125000,no,White,no,I am a developer by profession,no,no
5,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,5,no,no,no,Indifferent,no,Straight / Heterosexual,80000,no,White,no,I am a developer by profession,yes,yes
40,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,yes,no,no,25,no,yes,no,Unsure,yes,Gay or Lesbian,140000,no,White,no,I am a developer by profession,no,no
3,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,yes,no,2,yes,no,no,Unfavorable,no,Straight / Heterosexual,82500,no,White,no,I am a developer by profession,no,no
34,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,yes,no,23,no,yes,no,Indifferent,no,Straight / Heterosexual,120000,no,White,yes,I am a developer by profession,no,no
12,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,yes,no,4,yes,no,no,Very favorable,no,Straight / Heterosexual,300000,no,Indian,no,I am a developer by profession,yes,no
14,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,no,no,8,no,no,no,Unsure,no,Straight / Heterosexual,296000,no,White,no,I am a developer by profession,yes,yes
6,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,yes,3,yes,no,yes,Very unfavorable,no,Straight / Heterosexual,185000,no,White,no,I am a developer by profession,no,no
16,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,yes,no,no,12,yes,yes,no,Favorable,no,Straight / Heterosexual,320000,no,White,no,I am a developer by profession,no,no
16,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,yes,no,no,12,yes,no,no,Unfavorable,no,Straight / Heterosexual,300000,no,White,no,I am a developer by profession,yes,no
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,yes,no,3,yes,yes,no,Indifferent,no,Straight / Heterosexual,95000,yes,White,yes,I am a developer by profession,yes,yes
18,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,no,no,14,no,no,no,Favorable,no,Straight / Heterosexual,150000,no,White,no,I am a developer by profession,yes,no
5,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,yes,no,1,yes,no,no,Indifferent,no,Straight / Heterosexual,170000,yes,White,yes,I am a developer by profession,yes,yes
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,no,no,8,no,no,no,Unfavorable,no,Straight / Heterosexual,200000,no,White,no,I am a developer by profession,yes,no
23,Man,no,Some college/university study without earning a degree,35-44 years old,no,no,no,22,no,no,no,Indifferent,no,Straight / Heterosexual,300000,no,White,yes,I am a developer by profession,yes,yes
13,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,9,yes,no,no,Indifferent,no,Straight / Heterosexual,170000,no,White,no,I am a developer by profession,no,no
3,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,2,no,no,no,Unsure,no,Straight / Heterosexual,80000,yes,White,no,I am a developer by profession,yes,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,yes,no,10,no,no,no,Very unfavorable,no,Straight / Heterosexual,200000,no,White,no,I am a developer by profession,yes,yes
9,Man,no,Some college/university study without earning a degree,25-34 years old,no,yes,no,3,no,no,no,Unfavorable,no,Straight / Heterosexual,99000,no,White,no,I am a developer by profession,yes,yes
5,Woman,no,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24 years old,yes,no,no,0,no,yes,no,Very unfavorable,no,Gay or Lesbian,80000,no,White,yes,I am a developer by profession,yes,no
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,no,no,0,yes,no,no,Unfavorable,no,Straight / Heterosexual,78000,no,White,no,I am a developer by profession,no,no
6,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,no,no,1,yes,no,no,Unfavorable,no,Straight / Heterosexual,65000,yes,White,no,I am a developer by profession,yes,yes
13,Man,no,Primary/elementary school,18-24 years old,no,yes,no,7,yes,no,no,Very unfavorable,no,Straight / Heterosexual,115000,yes,White,no,I am a developer by profession,yes,yes
7,Woman,no,Some college/university study without earning a degree,25-34 years old,no,no,no,6,no,no,no,Unfavorable,no,Straight / Heterosexual,300000,no,White,no,I am a developer by profession,yes,yes
27,Man,no,"Associate degree (A.A., A.S., etc.)",35-44 years old,no,yes,no,19,no,no,no,Very unfavorable,no,Straight / Heterosexual,200000,no,White,no,I am a developer by profession,yes,yes
35,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,no,no,no,25,no,no,no,Favorable,no,Straight / Heterosexual,130000,yes,White,no,I am a developer by profession,no,no
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,no,no,2,yes,no,no,Indifferent,no,Straight / Heterosexual,140000,yes,Indian,no,I am a developer by profession,yes,yes
9,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,no,no,2,no,yes,no,Very unfavorable,no,Straight / Heterosexual,97600,no,Indian,no,I am a developer by profession,no,no
13,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,yes,no,no,6,no,no,no,Very unfavorable,no,Straight / Heterosexual,145000,no,White,no,I am a developer by profession,no,no
13,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,10,no,no,no,Very unfavorable,no,Straight / Heterosexual,120000,no,White,yes,I am a developer by profession,yes,yes
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,no,no,2,yes,no,no,Favorable,no,Straight / Heterosexual,45000,no,White,yes,"I am not primarily a developer, but I write code sometimes as part of my work",no,no
9,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,yes,yes,8,yes,no,no,Very unfavorable,no,Straight / Heterosexual,183000,no,White,no,I am a developer by profession,no,no
40,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",55-64 years old,no,no,no,25,no,no,no,Unfavorable,no,Straight / Heterosexual,205000,yes,White,no,I am a developer by profession,yes,yes
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,4,no,no,no,Indifferent,no,Straight / Heterosexual,90000,no,White,no,I am a developer by profession,yes,yes
6,Man,no,"Associate degree (A.A., A.S., etc.)",18-24 years old,no,yes,no,4,yes,no,no,Unfavorable,no,Straight / Heterosexual,200000,yes,White,no,I am a developer by profession,yes,yes
12,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,9,yes,no,no,Unfavorable,no,Straight / Heterosexual,130000,no,White,no,I am a developer by profession,yes,yes
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,4,yes,no,no,Very unfavorable,no,Straight / Heterosexual,95000,no,White,no,I am a developer by profession,yes,yes
20,Man,no,Some college/university study without earning a degree,35-44 years old,no,no,no,12,yes,no,no,Indifferent,no,Straight / Heterosexual,120000,no,White,no,I am a developer by profession,yes,yes
18,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,no,yes,no,14,no,no,no,Unfavorable,yes,Straight / Heterosexual,161000,no,White,no,I am a developer by profession,yes,yes
14,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,3,no,yes,no,Unfavorable,no,Straight / Heterosexual,141000,yes,White,no,I am a developer by profession,no,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,8,no,no,no,Indifferent,no,Straight / Heterosexual,140000,no,White,yes,I am a developer by profession,yes,yes
5,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,yes,no,1,yes,no,no,Very unfavorable,no,Straight / Heterosexual,70000,no,White,no,I am a developer by profession,yes,yes
20,Man,no,Some college/university study without earning a degree,35-44 years old,yes,no,no,15,no,no,no,Indifferent,no,Straight / Heterosexual,100000,no,White,no,I am a developer by profession,yes,no
10,Man,no,"Associate degree (A.A., A.S., etc.)",25-34 years old,no,yes,no,6,no,no,no,Favorable,no,Straight / Heterosexual,120000,no,White,no,I am a developer by profession,yes,no
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,yes,4,yes,yes,no,Unfavorable,no,Straight / Heterosexual,88000,no,White,yes,I am a developer by profession,yes,no
5,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,yes,no,2,no,no,no,Very unfavorable,no,Straight / Heterosexual,74000,no,White,no,I am a developer by profession,yes,yes
30,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,no,no,no,15,no,no,no,Indifferent,no,Straight / Heterosexual,280000,no,White,no,I am a developer by profession,no,no
35,Man,no,Some college/university study without earning a degree,45-54 years old,no,yes,no,25,no,no,no,Unfavorable,no,Straight / Heterosexual,160000,yes,White,no,I am a developer by profession,yes,yes
6,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,yes,yes,no,0,yes,no,no,Unfavorable,no,Straight / Heterosexual,74000,no,White,no,I am a developer by profession,yes,no
15,Man,no,Some college/university study without earning a degree,25-34 years old,no,no,no,9,no,no,no,Very unfavorable,no,Straight / Heterosexual,264000,no,White,yes,I am a developer by profession,no,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,5,no,no,no,Favorable,no,Straight / Heterosexual,100000,no,White,no,I am a developer by profession,yes,yes
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,yes,no,1,yes,no,no,Unfavorable,no,Straight / Heterosexual,95000,no,White,no,I am a developer by profession,yes,yes
26,Man,no,"Other doctoral degree (Ph.D., Ed.D., etc.)",35-44 years old,no,yes,no,0,yes,no,no,Indifferent,no,Straight / Heterosexual,129500,no,White,no,"I am not primarily a developer, but I write code sometimes as part of my work",yes,no
14,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,8,yes,no,no,Unfavorable,no,Straight / Heterosexual,135000,no,White,no,"I am not primarily a developer, but I write code sometimes as part of my work",yes,yes
16,Man,no,"Other doctoral degree (Ph.D., Ed.D., etc.)",25-34 years old,no,no,no,12,yes,no,no,Indifferent,no,Straight / Heterosexual,100000,no,White,no,"I am not primarily a developer, but I write code sometimes as part of my work",yes,yes
22,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,no,yes,no,16,no,no,no,Very unfavorable,no,Straight / Heterosexual,205000,no,White,yes,I am a developer by profession,no,no
17,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,yes,no,14,no,no,no,Indifferent,no,Straight / Heterosexual,180000,no,White,no,I am a developer by profession,yes,yes
6,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,yes,no,2,no,no,no,Unfavorable,no,Straight / Heterosexual,65000,no,White,no,I am a developer by profession,yes,yes
15,Man,no,Some college/university study without earning a degree,25-34 years old,no,yes,no,10,no,no,no,Favorable,no,Straight / Heterosexual,240000,yes,North American,no,I am a developer by profession,no,no
34,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,no,yes,no,27,yes,no,no,Very unfavorable,no,Straight / Heterosexual,85000,no,White,no,I am a developer by profession,yes,yes
15,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,11,no,no,no,Very unfavorable,no,Straight / Heterosexual,155000,yes,White,no,I am a developer by profession,yes,no
24,Man,no,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",45-54 years old,no,no,no,24,yes,no,no,Indifferent,no,Straight / Heterosexual,120000,no,White,no,I am a developer by profession,no,no
6,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,5,yes,no,no,Unfavorable,no,Straight / Heterosexual,70000,yes,White,no,I am a developer by profession,yes,yes
14,Man,no,Some college/university study without earning a degree,18-24 years old,yes,no,no,6,no,no,no,Very unfavorable,no,Bisexual,102000,no,White,no,I am a developer by profession,yes,yes
26,Man,no,Some college/university study without earning a degree,35-44 years old,no,yes,no,26,no,no,no,Very unfavorable,no,Gay or Lesbian,130000,no,White,no,I am a developer by profession,yes,yes
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,7,yes,no,no,Very unfavorable,no,Straight / Heterosexual,264000,yes,White,no,I am a developer by profession,yes,no
15,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,no,no,9,yes,no,no,Favorable,no,Straight / Heterosexual,300000,no,White,no,I am a developer by profession,yes,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,5,yes,no,no,Very unfavorable,no,Straight / Heterosexual,210000,no,White,yes,I am a developer by profession,no,no
12,Man,yes,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,yes,no,no,1,no,yes,no,Unfavorable,no,Straight / Heterosexual,200000,yes,White,yes,I am a developer by profession,yes,no
11,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,yes,no,5,yes,no,no,Very unfavorable,no,Straight / Heterosexual,82000,no,White,no,I am a developer by profession,no,no
15,Man,no,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",35-44 years old,no,no,no,10,no,no,no,Unsure,no,Straight / Heterosexual,200000,no,White,no,I am a developer by profession,yes,no
18,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,8,no,no,no,Unfavorable,no,Straight / Heterosexual,40000,no,White,no,I am a developer by profession,yes,yes
9,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,no,no,1,yes,no,no,Very unfavorable,no,Straight / Heterosexual,95000,no,White,no,I am a developer by profession,yes,yes
27,Woman,no,"Other doctoral degree (Ph.D., Ed.D., etc.)",35-44 years old,no,yes,yes,15,yes,no,no,Very unfavorable,no,Straight / Heterosexual,180000,no,White,no,I am a developer by profession,no,no
6,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,no,no,4,yes,no,no,Very unfavorable,no,Straight / Heterosexual,180000,no,White,no,I am a developer by profession,no,no
16,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,12,yes,yes,no,Very unfavorable,no,Straight / Heterosexual,150000,no,White,yes,I am a developer by profession,no,no
14,Man,no,Some college/university study without earning a degree,25-34 years old,no,yes,no,10,yes,no,no,Favorable,no,Straight / Heterosexual,128000,no,White,no,I am a developer by profession,yes,yes
22,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,no,no,10,yes,no,no,Indifferent,no,Straight / Heterosexual,206800,yes,White,no,I am a developer by profession,no,no
6,Man,no,"Other doctoral degree (Ph.D., Ed.D., etc.)",25-34 years old,no,yes,yes,4,yes,no,no,Very unfavorable,no,Straight / Heterosexual,145000,no,White,no,"I am not primarily a developer, but I write code sometimes as part of my work",no,yes
38,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,yes,no,yes,22,yes,yes,no,Unfavorable,no,Bisexual,170000,no,White,no,I am a developer by profession,no,no
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,4,yes,no,no,Very unfavorable,no,Straight / Heterosexual,125000,yes,White,no,I am a developer by profession,yes,yes
10,Man,no,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24 years old,yes,yes,no,1,no,no,no,Very unfavorable,no,Straight / Heterosexual,70000,no,White,no,I am a developer by profession,no,no
12,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,6,no,no,no,Unfavorable,no,Bisexual,130000,no,White,no,I am a developer by profession,yes,yes
15,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,10,yes,no,no,Very unfavorable,no,Straight / Heterosexual,200000,no,Hispanic or Latino/a,no,I am a developer by profession,no,no
4,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,no,no,no,3,no,no,no,Very unfavorable,no,Straight / Heterosexual,110000,no,White,no,I am a developer by profession,no,yes
27,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,no,no,no,21,no,no,no,Very unfavorable,yes,Straight / Heterosexual,172000,no,White,no,I am a developer by profession,no,no
13,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,2,yes,no,no,Unsure,no,Straight / Heterosexual,100000,no,White,no,I am a developer by profession,yes,yes
20,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,no,no,12,no,no,no,Favorable,no,Straight / Heterosexual,100000,no,White,no,I am a developer by profession,yes,no
11,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,5,no,no,no,Very unfavorable,no,Straight / Heterosexual,235000,yes,Asian,no,I am a developer by profession,yes,no
23,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,no,yes,no,17,no,no,no,Very unfavorable,no,Straight / Heterosexual,205000,no,White,no,I am a developer by profession,yes,no
11,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,no,no,6,no,yes,no,Very unfavorable,no,Straight / Heterosexual,162500,no,White,yes,I am a developer by profession,yes,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,yes,yes,no,4,yes,no,no,Unfavorable,no,Straight / Heterosexual,175000,no,White,no,I am a developer by profession,yes,yes
11,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,9,yes,no,no,Indifferent,no,Straight / Heterosexual,138000,no,White,no,I am a developer by profession,yes,yes
23,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,no,no,no,21,no,no,no,Very unfavorable,no,Straight / Heterosexual,190000,no,White,no,I am a developer by profession,no,no
8,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,no,no,no,3,yes,no,no,Indifferent,no,Straight / Heterosexual,251000,yes,White,no,I am a developer by profession,yes,yes
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,yes,no,3,yes,yes,no,Indifferent,no,Straight / Heterosexual,105000,no,White,no,I am a developer by profession,no,no
18,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,10,yes,no,no,Very unfavorable,no,Straight / Heterosexual,350000,no,White,no,I am a developer by profession,yes,yes
10,Man,no,Some college/university study without earning a degree,25-34 years old,no,no,no,8,yes,no,no,Unfavorable,no,Straight / Heterosexual,180000,yes,White,no,I am a developer by profession,no,no
15,Man,no,"Other doctoral degree (Ph.D., Ed.D., etc.)",25-34 years old,yes,no,no,9,yes,yes,no,Very unfavorable,no,Straight / Heterosexual,172000,no,White,yes,I am a developer by profession,no,no
5,Woman,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,no,no,5,no,no,no,Indifferent,no,Straight / Heterosexual,105000,yes,White,no,I am a developer by profession,no,no
14,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,9,no,no,yes,Very unfavorable,no,Straight / Heterosexual,224250,no,White,no,"I am not primarily a developer, but I write code sometimes as part of my work",yes,no
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,5,no,no,no,Favorable,no,Straight / Heterosexual,100000,no,White,no,I am a developer by profession,yes,yes
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,no,no,8,yes,no,no,Very unfavorable,no,Straight / Heterosexual,170000,no,White,yes,"I am not primarily a developer, but I write code sometimes as part of my work",no,no
22,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,no,no,no,20,no,no,no,Unfavorable,yes,Straight / Heterosexual,150000,yes,White,no,I am a developer by profession,yes,no
42,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",55-64 years old,yes,no,no,30,yes,yes,no,Very unfavorable,no,Straight / Heterosexual,330000,no,White,yes,I am a developer by profession,no,no
31,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,no,yes,no,31,no,no,no,Indifferent,no,Straight / Heterosexual,165000,yes,White,no,"I am not primarily a developer, but I write code sometimes as part of my work",yes,yes
8,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,no,yes,no,3,yes,no,no,Unfavorable,no,Straight / Heterosexual,180000,no,White,no,I am a developer by profession,yes,yes
20,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,11,yes,no,no,Very unfavorable,no,Straight / Heterosexual,217000,yes,White,no,I am a developer by profession,yes,yes
40,Man,no,Some college/university study without earning a degree,55-64 years old,yes,no,no,30,no,no,no,Favorable,no,Straight / Heterosexual,100000,yes,White,no,I am a developer by profession,yes,yes
12,Woman,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,no,yes,no,6,no,no,no,Indifferent,no,Bisexual,58000,no,White,no,I am a developer by profession,yes,yes
10,Man,no,"Bachelor???s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,yes,yes,no,8,yes,yes,no,Very unfavorable,no,Straight / Heterosexual,150000,yes,White,no,I am a developer by profession,yes,yes
16,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,yes,yes,no,11,no,no,no,Unfavorable,no,Straight / Heterosexual,165000,no,White,no,I am a developer by profession,yes,yes
5,Man,no,"Master???s degree (M.A., M.S., M.Eng., MBA, etc.)",18-24 years old,yes,no,no,1,yes,yes,no,Very unfavorable,no,Straight / Heterosexual,300000,no,White,yes,I am a developer by profession,no,no
25,Man,no,Some college/university study without earning a degree,45-54 years old,no,no,no,22,yes,no,no,Very unfavorable,no,Straight / Heterosexual,160000,no,White,no,I am a developer by profession,no,no
